id,user_id,movie_id,rating,comment
1,1,1,5,"An amazing movie with a powerful story."
2,2,1,4,"Strong performances, though pacing is slow."
3,3,1,3,"Good but slightly overrated."
4,4,2,5,"A masterpiece of cinema."
5,5,2,5,"Perfect blend of storytelling and acting."
6,6,2,2,"Too long and old-fashioned for my taste."
7,7,3,4,"Great action and storyline."
8,8,3,5,"Best superhero movie ever made."
9,9,3,3,"Action-packed but lacks emotional depth."
10,10,4,5,"A classic that never gets old."
11,11,4,4,"Stylish and witty dialogue."
12,12,4,2,"Too confusing and fragmented."
13,13,5,4,"Heartwarming and inspiring."
14,14,5,5,"Tom Hanks at his best."
15,15,5,3,"Sweet but overly sentimental."
16,16,6,5,"Mind-blowing visuals and a gripping plot."
17,1,6,4,"Complex but rewarding."
18,2,6,2,"Too confusing for casual viewers."
19,3,7,5,"Revolutionary sci-fi with deep themes."
20,4,7,4,"Ahead of its time."
21,5,7,3,"Cool action, but philosophy feels forced."
22,6,8,5,"Epic conclusion to a legendary saga."
23,7,8,4,"Visually stunning and emotional."
24,8,8,3,"Too long but satisfying."
25,9,9,4,"Chilling and unforgettable thriller."
26,10,9,5,"Anthony Hopkins is terrifyingly brilliant."
27,11,9,2,"Disturbing and not for everyone."
28,12,10,3,"Fun but too crowded with characters."
29,13,10,4,"Entertaining ensemble superhero flick."
30,14,10,2,"Messy plot despite action."
31,15,11,5,"Visually stunning and emotionally moving."
32,16,11,4,"Ambitious and thought-provoking."
33,1,11,3,"Too complex for casual viewers."
34,2,12,4,"Strong performances, though a bit long."
35,3,12,5,"Russell Crowe is phenomenal."
36,4,12,3,"Good but predictable."
37,5,13,5,"Brilliant social commentary and suspense."
38,6,13,4,"Unique and gripping."
39,7,13,2,"Overrated and slow."
40,8,14,5,"Intense and inspiring drama."
41,9,14,4,"Excellent music and acting."
42,10,14,3,"Good but niche appeal."
43,11,15,4,"Smart and intriguing mystery."
44,12,15,5,"Nolan at his best."
45,13,15,2,"Too confusing."
46,14,16,5,"Perfect finale with emotional weight."
47,15,16,4,"Epic and satisfying."
48,16,16,3,"Dragged in parts."
49,1,17,4,"Exciting but slightly overhyped."
50,2,17,5,"Spider-Man fans will love it."
51,3,17,3,"Too much fan service."
52,4,18,5,"Dark, powerful, and unforgettable."
53,5,18,4,"Phoenix delivers a masterclass."
54,6,18,2,"Depressing and unsettling."
55,7,19,3,"Visually impressive but slow at times."
56,8,19,4,"Epic sci-fi world-building."
57,9,19,2,"Too slow and confusing."
58,10,20,5,"Spectacular action and emotional depth."
59,11,20,4,"Rajamouli’s vision is breathtaking."
60,12,20,3,"Entertaining but exaggerated."
61,13,21,5,"Groundbreaking fantasy with stunning visuals."
62,14,21,5,"A true milestone in Indian cinema."
63,15,21,2,"Too much CGI, story feels thin."
64,16,22,5,"An epic sequel that surpasses expectations."
65,1,22,4,"Grand and emotional."
66,2,22,3,"Overlong but impressive."
67,3,23,4,"Stylish and entertaining."
68,4,23,5,"Allu Arjun’s performance is electrifying."
69,5,23,3,"Songs are good, but story drags."
70,6,24,5,"Unique storytelling with cultural depth."
71,7,24,4,"Rustic and powerful."
72,8,24,2,"Too niche for mainstream."
73,9,25,5,"Raw and powerful action drama."
74,10,25,4,"Yash is outstanding."
75,11,25,3,"Too violent."
76,12,26,5,"A thrilling sequel with massive scale."
77,13,26,4,"Bigger and better."
78,14,26,2,"Too loud and overdone."
79,15,27,4,"High-octane action, though predictable."
80,16,27,5,"Prabhas shines in this mass entertainer."
81,1,27,2,"Formulaic and noisy."
82,2,28,4,"Rustic setting with strong performances."
83,3,28,5,"Nani delivers brilliantly."
84,4,28,3,"Good but slow."
85,5,29,5,"Heartfelt romance with touching moments."
86,6,29,4,"Emotional and sweet."
87,7,29,2,"Too melodramatic."
88,8,30,5,"Fresh take on superhero genre."
89,9,30,4,"Fun and creative."
90,10,30,3,"Entertaining but not groundbreaking."
91,11,31,4,"Entertaining but excessive at times."
92,12,31,5,"DiCaprio is hilarious."
93,13,31,2,"Too vulgar."
94,14,32,5,"Adrenaline-fueled masterpiece."
95,15,32,4,"Visually stunning."
96,16,32,3,"Too chaotic."
97,1,33,4,"Charming musical with great visuals."
98,2,33,5,"Beautifully crafted."
99,3,33,2,"Too cheesy."
100,4,34,4,"Gritty survival story with stunning cinematography."
101,5,34,5,"DiCaprio’s best performance."
102,6,34,3,"Too slow."
103,7,35,5,"A superhero film with cultural impact."
104,8,35,4,"Strong story."
105,9,35,2,"Overrated."
106,10,36,3,"Visually wild but messy plot."
107,11,36,4,"Entertaining spectacle."
108,12,36,2,"Confusing."
109,13,37,5,"Thrilling and nostalgic blockbuster."
110,14,37,4,"Great sequel."
111,15,37,3,"Predictable."
112,16,38,5,"Masterful storytelling and performances."
113,1,38,4,"Cillian Murphy is brilliant."
114,2,38,3,"Too long."
115,3,39,4,"Colorful and fun."
116,4,39,5,"Unique and bold."
117,5,39,2,"Shallow."
118,6,40,4,"Dark and stylish take on Batman."
119,7,40,5,"Pattinson is excellent."
120,8,40,3,"Too gloomy."
121,9,41,5,"Bold and emotional love story."
122,10,41,4,"Vijay Deverakonda shines."
123,11,41,2,"Too intense."
124,12,42,4,"Sweet romance with good humor."
125,13,42,5,"Fun and charming."
126,14,42,3,"Predictable."
127,15,43,5,"Family drama with mass appeal."
128,16,43,4,"Stylish and entertaining."
129,1,43,2,"Too commercial."
130,2,44,3,"Energetic but feels dated now."
131,3,44,4,"Fun sports drama."
132,4,44,2,"Overacted."
133,5,45,5,"Fantasy epic with breathtaking visuals."
134,6,45,4,"Ram Charan is great."
135,7,45,3,"Too long."
136,8,46,4,"Inventive and entertaining fantasy."
137,9,46,5,"Rajamouli’s creativity shines."
138,10,46,2,"Silly concept."
139,11,47,4,"Solid action with social themes."
140,12,47,5,"NTR delivers strongly."
141,13,47,3,"Average story."
142,14,48,3,"Visually rich but weak story."
143,15,48,4,"Romantic and stylish."
144,16,48,2,"Too boring."
145,1,49,3,"Fan Fluff only"
